,序号,设施名称,配置地点,数量,管理部门
,14,消防隔热服,6号楼旁,2套,安环部
,15,消防隔热服,9号楼旁,2套,安环部
,16,消防隔热服,12号楼旁,2套,安环部
,17,消防隔热服,储罐区,2套,安环部
,18,消防隔热服,微型消防站,2套,安环部
,,,6#、8#、9#、12#、14#及仓库,,
,19,防化服,,50套,安环部
,,,储罐区附近等,,
,20,DN65应急真空泵,应急中心,1台,安环部
,21,500L应急推车式储罐,应急中心,1只,安环部
,22,气体浓度探测器,仓库、车间等场所,130只,安环部
,23,应急喷淋、洗眼器,车间、仓库等,53套,安环部
,,,6#、8#、9#、12#、14#及仓库,,
,24,防毒面具,,16只,安环部
,,,储罐区附近等,,
,25,防毒面具,微型消防站,14套,安环部
,,,6#、8#、9#、12#、14#及仓库,,
,26,滤毒罐,,30只,安环部
,,,储罐区附近等,,
,27,滤毒罐,微型消防站、库房,50只,安环部
,28,SN65室内、室外消防栓,全厂区,78只,安环部
,29,SN65室外泡沫消火栓,全厂区,30只,安环部
,30,SS100地上式消防栓,全厂区,1只,安环部
,31,KY65水枪头,全厂区,75支,安环部
,32,多功能水枪,全厂区,30支,安环部
,33,干粉灭火器,全厂区,525只,安环部
,34,消防水带,全厂区,130根,安环部
,35,35kg推车式干粉灭火器,储罐区,7只,安环部
,36,滤毒罐,微型消防站、库房,50只,安环部
,37,应急救援三脚架,微型消防站,1副,安环部
,38,备用空气瓶,微型消防站,9只,安环部
,39,防毒口罩,仓库,100只,安环部
,40,灭火毯,微型消防站,2箱,安环部
,41,烟感报警器,各仓库、配电房,58个,安环部
,42,逃生梯、消防斧等,微型消防站,若干,安环部
1,.10.,7 周边可依托的应急,力量,,
,1）,消防救援主要依托当地,消防大队、浙江省安全生产,应急救援海正,中心以及企
,业已设,的消防设施。浙江省安全,生产应急救援海正中心配备,有专职消防队,，配有 7辆
,消防车,和其它消防器材，并配,备了较为完善的消防应急救援,器材如消防,战斗服（进
,口）、重,型防化服（内置式）、避,火服、无火花工具、跟踪器,、轻型防化服,、呼救器、
